Date,Product,Category,Brand,Quantity,Price_per_Unit,Discount (%),Total_Sales,Customer_Age,Customer_Gender,Payment_Method,City,State,Country,Customer_Rating,Delivery_Time (Days)
2023-03-05,Phone,Accessories,Samsung,15,1664,20,34287,60,Female,Cash,Chicago,AZ,USA,5,4
2023-03-06,Smartwatch,Accessories,Samsung,9,814,28,26371,55,Female,PayPal,Phoenix,AZ,USA,4,3
2023-03-07,Phone,Electronics,Samsung,6,101,12,24482,18,Female,Credit Card,New York,TX,USA,1,4
2023-03-08,Laptop,Electronics,Sony,12,1201,22,1549,46,Female,Cash,New York,CA,USA,1,9
2023-03-09,Smartwatch,Electronics,HP,18,1447,23,13881,38,Female,PayPal,Chicago,AZ,USA,5,8
2023-03-10,Phone,Electronics,Sony,15,842,22,2840,46,Female,Cash,Phoenix,NY,USA,2,4
2023-03-11,Headphones,Accessories,Dell,19,1221,22,42717,26,Male,Cash,Los Angeles,NY,USA,1,8
2023-03-12,Tablet,Accessories,Lenovo,9,1752,10,48890,24,Female,Credit Card,Los Angeles,TX,USA,4,1
2023-03-13,Phone,Wearables,Apple,13,209,14,36253,55,Male,Credit Card,Phoenix,TX,USA,1,8
2023-03-14,Smartwatch,Wearables,Sony,16,778,1,12561,48,Female,Debit Card,Houston,TX,USA,3,2
2023-03-15,Smartwatch,Electronics,Samsung,13,1580,5,6205,44,Male,Credit Card,Los Angeles,AZ,USA,4,6
2023-03-16,Laptop,Accessories,Samsung,1,1611,20,24514,59,Male,Debit Card,Houston,CA,USA,2,6
2023-03-17,Headphones,Wearables,Dell,18,1932,10,33973,49,Female,Credit Card,Phoenix,TX,USA,4,3
2023-03-18,Phone,Wearables,HP,3,470,14,28647,22,Female,Credit Card,New York,IL,USA,4,5
2023-03-19,Headphones,Wearables,Apple,17,1460,8,2984,50,Female,Debit Card,Phoenix,TX,USA,1,2
2023-03-20,Laptop,Wearables,Sony,5,989,11,2245,32,Male,Debit Card,New York,AZ,USA,4,8
2023-03-21,Tablet,Electronics,HP,6,698,25,22648,22,Female,Debit Card,Phoenix,CA,USA,5,8
2023-03-22,Headphones,Accessories,HP,17,1145,26,16716,37,Female,Cash,Houston,TX,USA,4,5
2023-03-23,Laptop,Electronics,Lenovo,17,821,3,33047,55,Female,Debit Card,Houston,NY,USA,1,7
2023-03-24,Phone,Wearables,Lenovo,1,404,27,42429,54,Female,Cash,Phoenix,TX,USA,5,8
2023-03-25,Tablet,Wearables,Sony,7,1023,22,47242,34,Male,Cash,New York,TX,USA,2,4
2023-03-26,Smartwatch,Accessories,Sony,16,1395,26,22512,21,Female,Debit Card,Phoenix,CA,USA,3,2
2023-03-27,Laptop,Accessories,Sony,5,1613,23,1277,38,Male,Debit Card,New York,IL,USA,4,5
2023-03-28,Smartwatch,Electronics,Sony,16,935,13,10025,51,Male,Debit Card,Houston,TX,USA,5,7
2023-03-29,Tablet,Accessories,Samsung,4,545,21,43577,57,Female,Credit Card,Chicago,TX,USA,5,4
2023-03-30,Laptop,Electronics,HP,11,1031,2,43848,22,Female,Credit Card,Los Angeles,AZ,USA,2,4
2023-03-31,Laptop,Electronics,HP,14,377,26,3614,21,Male,Debit Card,Houston,CA,USA,2,4
2023-04-01,Tablet,Wearables,Samsung,13,1774,20,45673,39,Female,PayPal,Phoenix,AZ,USA,3,9
2023-04-02,Phone,Electronics,HP,8,1976,16,36204,31,Male,Debit Card,Phoenix,TX,USA,3,9
2023-04-03,Laptop,Wearables,Sony,15,476,29,20994,21,Male,PayPal,New York,TX,USA,1,8
2023-04-04,Tablet,Electronics,Apple,18,331,12,1845,25,Female,Credit Card,Los Angeles,NY,USA,3,8
2023-04-05,Headphones,Electronics,Lenovo,7,1868,7,2541,20,Female,Credit Card,Houston,AZ,USA,3,7
2023-04-06,Smartwatch,Accessories,Lenovo,19,691,11,14830,63,Female,PayPal,Los Angeles,CA,USA,5,1
2023-04-07,Laptop,Accessories,HP,9,525,11,13698,46,Male,Credit Card,Los Angeles,TX,USA,4,8
2023-04-08,Headphones,Wearables,Apple,11,1178,11,40772,43,Male,Debit Card,Houston,NY,USA,4,4
2023-04-09,Laptop,Accessories,Lenovo,10,1926,26,10247,47,Female,PayPal,New York,NY,USA,3,1
2023-04-10,Phone,Electronics,Apple,14,540,1,17573,29,Female,PayPal,New York,IL,USA,1,1
2023-04-11,Tablet,Wearables,Samsung,16,133,28,30786,32,Male,Cash,New York,CA,USA,1,3
2023-04-12,Laptop,Wearables,Dell,8,428,9,28528,58,Male,Credit Card,Chicago,NY,USA,4,3
2023-04-13,Tablet,Wearables,HP,1,944,22,26610,19,Female,PayPal,Los Angeles,CA,USA,2,1
2023-04-14,Laptop,Electronics,Samsung,12,553,8,23940,18,Male,PayPal,Chicago,TX,USA,5,8
2023-04-15,Phone,Accessories,Samsung,3,1511,0,33387,64,Female,PayPal,New York,IL,USA,3,4
2023-04-16,Phone,Wearables,Apple,2,863,28,39437,64,Male,Credit Card,Houston,CA,USA,5,4
2023-04-17,Headphones,Electronics,HP,16,1553,3,39100,45,Female,PayPal,Los Angeles,IL,USA,3,6
2023-04-18,Phone,Accessories,Samsung,4,1599,22,47917,57,Female,PayPal,Houston,CA,USA,3,9
2023-04-19,Tablet,Accessories,Sony,2,1248,13,12746,52,Male,Debit Card,Phoenix,CA,USA,4,9
2023-04-20,Phone,Wearables,Samsung,12,622,15,27928,51,Male,Debit Card,Los Angeles,AZ,USA,5,8
2023-04-21,Laptop,Electronics,Sony,17,581,24,2113,21,Female,Cash,Houston,IL,USA,5,1
2023-04-22,Phone,Accessories,Dell,10,416,17,48843,35,Female,PayPal,New York,CA,USA,2,2
2023-04-23,Tablet,Electronics,Sony,8,221,1,8123,29,Female,Credit Card,Chicago,AZ,USA,2,3
2023-04-24,Laptop,Accessories,Sony,18,1670,5,36301,38,Female,Cash,Houston,AZ,USA,5,5
2023-04-25,Headphones,Wearables,Apple,18,680,2,6159,27,Male,Cash,Phoenix,IL,USA,2,5
2023-04-26,Headphones,Wearables,Samsung,18,1436,19,45523,38,Female,Cash,New York,TX,USA,2,8
2023-04-27,Headphones,Accessories,Dell,2,586,18,30153,57,Male,PayPal,Phoenix,IL,USA,3,2
2023-04-28,Laptop,Electronics,Samsung,12,1774,12,12580,42,Male,Cash,Chicago,CA,USA,4,2
2023-04-29,Headphones,Accessories,Sony,10,1135,16,12476,34,Female,Credit Card,Phoenix,TX,USA,3,8
2023-04-30,Phone,Electronics,Lenovo,8,224,13,44086,23,Male,Debit Card,Houston,IL,USA,2,1
2023-05-01,Laptop,Accessories,Sony,19,1934,29,16218,31,Male,Debit Card,Houston,IL,USA,3,9
2023-05-02,Laptop,Wearables,Samsung,10,758,21,9841,54,Female,PayPal,New York,IL,USA,3,2
2023-05-03,Laptop,Electronics,Dell,11,1200,10,48464,57,Female,Credit Card,Chicago,IL,USA,1,5
2023-05-04,Smartwatch,Wearables,Lenovo,14,679,15,16796,57,Female,Credit Card,Chicago,TX,USA,3,3
2023-05-05,Tablet,Electronics,Dell,15,817,10,26785,35,Female,Credit Card,Los Angeles,CA,USA,3,5
2023-05-06,Smartwatch,Accessories,Apple,10,1359,28,14634,47,Female,PayPal,Los Angeles,AZ,USA,4,8
2023-05-07,Smartwatch,Wearables,Sony,4,1694,17,45509,26,Male,Credit Card,Houston,IL,USA,5,8
2023-05-08,Smartwatch,Wearables,Sony,7,869,1,29837,31,Female,Debit Card,Phoenix,AZ,USA,1,6
2023-05-09,Tablet,Electronics,Apple,11,1377,22,955,63,Female,Credit Card,Phoenix,AZ,USA,1,9
2023-05-10,Smartwatch,Electronics,Samsung,3,1003,20,8143,63,Male,Credit Card,New York,AZ,USA,1,7
2023-05-11,Headphones,Electronics,Sony,5,505,7,5120,34,Female,PayPal,Chicago,IL,USA,1,2
2023-05-12,Laptop,Wearables,Samsung,2,1366,13,9367,51,Female,Cash,Houston,IL,USA,4,1
2023-05-13,Laptop,Accessories,Dell,12,1584,1,26077,63,Female,Cash,Phoenix,IL,USA,5,8
2023-05-14,Phone,Electronics,Lenovo,5,376,12,29147,39,Male,PayPal,Los Angeles,IL,USA,4,1
2023-05-15,Headphones,Accessories,Lenovo,7,1592,9,49394,49,Female,PayPal,Houston,NY,USA,1,8
2023-05-16,Tablet,Electronics,Lenovo,4,1343,7,25971,29,Female,PayPal,New York,CA,USA,5,9
2023-05-17,Laptop,Accessories,HP,11,1348,6,5599,33,Female,PayPal,Houston,NY,USA,4,1
2023-05-18,Smartwatch,Electronics,Apple,9,1024,12,14387,39,Female,Credit Card,Phoenix,TX,USA,5,7
2023-05-19,Phone,Accessories,Lenovo,4,1224,25,43814,55,Female,Credit Card,New York,NY,USA,4,5
2023-05-20,Phone,Wearables,Sony,9,953,29,48703,56,Male,Cash,Los Angeles,NY,USA,5,8
2023-05-21,Laptop,Electronics,Apple,12,1757,23,28169,19,Female,PayPal,Los Angeles,NY,USA,4,4
2023-05-22,Headphones,Electronics,Dell,16,1853,26,559,62,Female,PayPal,Phoenix,CA,USA,1,2
2023-05-23,Phone,Wearables,Dell,1,606,18,13173,25,Female,Credit Card,New York,AZ,USA,1,7
2023-05-24,Laptop,Electronics,Dell,8,1710,23,23195,61,Female,PayPal,Los Angeles,TX,USA,1,7
2023-05-25,Headphones,Electronics,Dell,1,1454,14,6031,18,Female,Debit Card,New York,TX,USA,4,8
2023-05-26,Laptop,Wearables,HP,19,336,21,3264,58,Male,Credit Card,Houston,CA,USA,5,9
2023-05-27,Laptop,Wearables,Samsung,4,1093,1,2294,57,Male,Debit Card,Chicago,NY,USA,5,6
2023-05-28,Headphones,Accessories,Samsung,14,1462,21,11221,58,Female,Credit Card,Chicago,AZ,USA,2,3
2023-05-29,Headphones,Wearables,Lenovo,14,851,4,6186,22,Female,Credit Card,Chicago,IL,USA,3,5
2023-05-30,Headphones,Wearables,HP,9,605,18,47943,62,Male,Credit Card,Los Angeles,CA,USA,1,3
2023-05-31,Laptop,Electronics,Samsung,9,264,0,29967,63,Male,Cash,Phoenix,AZ,USA,1,9
2023-06-01,Phone,Wearables,Dell,17,945,6,38255,53,Male,Cash,Chicago,CA,USA,1,5
2023-06-02,Tablet,Electronics,Samsung,15,1792,17,13388,34,Female,Credit Card,Phoenix,CA,USA,2,7
2023-06-03,Tablet,Wearables,Apple,10,1846,0,39848,58,Male,Credit Card,Chicago,IL,USA,2,7
2023-06-04,Laptop,Wearables,Lenovo,17,1912,0,14033,47,Female,Credit Card,Houston,AZ,USA,2,7
2023-06-05,Laptop,Accessories,Samsung,9,827,6,22416,32,Female,Credit Card,Chicago,NY,USA,1,4
2023-06-06,Phone,Wearables,Apple,4,1341,27,4053,37,Male,PayPal,Phoenix,AZ,USA,5,4
2023-06-07,Headphones,Wearables,Sony,14,1868,16,8644,53,Female,PayPal,Los Angeles,AZ,USA,1,3
2023-06-08,Laptop,Electronics,Apple,3,475,24,42542,19,Female,PayPal,Houston,NY,USA,2,4
2023-06-09,Smartwatch,Electronics,Apple,12,1135,5,45707,62,Male,Cash,Phoenix,IL,USA,2,9
2023-06-10,Headphones,Accessories,Dell,1,1555,19,26009,21,Female,Debit Card,New York,AZ,USA,3,5
2023-06-11,Laptop,Wearables,Dell,1,182,11,5937,41,Male,Credit Card,Chicago,NY,USA,4,6
2023-06-12,Smartwatch,Electronics,Lenovo,13,530,19,25047,59,Male,PayPal,Houston,CA,USA,3,4
2023-06-13,Phone,Wearables,Dell,14,1748,14,33018,19,Male,PayPal,Los Angeles,CA,USA,3,1
2023-06-14,Smartwatch,Accessories,Apple,16,577,12,24330,63,Female,PayPal,New York,NY,USA,1,7
2023-06-15,Laptop,Electronics,HP,7,882,11,45545,19,Male,Credit Card,Chicago,CA,USA,4,7
2023-06-16,Tablet,Electronics,Dell,10,1830,29,9249,18,Male,Credit Card,Houston,AZ,USA,4,6
2023-06-17,Laptop,Accessories,Dell,15,468,20,47053,30,Female,Debit Card,Phoenix,NY,USA,1,4
2023-06-18,Tablet,Wearables,Apple,8,1776,1,22849,23,Male,Cash,Chicago,AZ,USA,5,8
2023-06-19,Phone,Electronics,Sony,11,1054,20,29789,39,Female,Debit Card,Houston,TX,USA,1,8
2023-06-20,Phone,Electronics,Sony,14,1759,17,6415,34,Female,Credit Card,Chicago,IL,USA,5,1
2023-06-21,Headphones,Accessories,Samsung,13,240,27,29195,39,Male,Debit Card,Houston,IL,USA,5,9
2023-06-22,Headphones,Accessories,Lenovo,13,819,3,10234,60,Male,PayPal,Phoenix,IL,USA,4,8
2023-06-23,Tablet,Accessories,Sony,9,1750,9,15203,23,Female,Debit Card,Chicago,NY,USA,1,2
2023-06-24,Tablet,Wearables,Dell,17,1841,10,22999,20,Male,PayPal,Houston,TX,USA,1,9
2023-06-25,Phone,Wearables,HP,18,1579,29,21978,63,Female,Debit Card,New York,IL,USA,4,4
2023-06-26,Smartwatch,Wearables,Samsung,19,1625,20,2882,23,Male,PayPal,Los Angeles,AZ,USA,3,6
2023-06-27,Tablet,Accessories,Lenovo,13,1526,5,30628,34,Female,Debit Card,Houston,IL,USA,1,2
2023-06-28,Tablet,Electronics,HP,12,1115,5,26083,52,Male,Cash,Houston,TX,USA,2,4
2023-06-29,Smartwatch,Wearables,HP,8,387,8,42741,54,Male,Debit Card,Houston,AZ,USA,2,2
2023-06-30,Headphones,Accessories,Dell,11,454,19,37626,64,Female,Credit Card,Chicago,AZ,USA,1,9
2023-07-01,Headphones,Wearables,Apple,7,442,12,41580,52,Male,Credit Card,Los Angeles,NY,USA,5,9
2023-07-02,Tablet,Electronics,Apple,1,248,29,47299,40,Male,PayPal,Chicago,NY,USA,4,5
2023-07-03,Headphones,Electronics,Apple,10,309,4,29192,25,Female,Credit Card,Houston,CA,USA,5,3
2023-07-04,Headphones,Accessories,Sony,15,1235,5,33407,24,Female,PayPal,Houston,TX,USA,2,3
2023-07-05,Headphones,Electronics,Apple,4,753,3,8144,27,Female,Cash,Los Angeles,AZ,USA,2,1
2023-07-06,Phone,Accessories,Lenovo,1,1075,5,35083,43,Male,Credit Card,New York,TX,USA,4,8
2023-07-07,Laptop,Accessories,Dell,11,635,17,37569,27,Male,Credit Card,Chicago,IL,USA,2,3
2023-07-08,Tablet,Accessories,Sony,5,1172,27,45598,36,Female,PayPal,New York,IL,USA,3,4
2023-07-09,Tablet,Accessories,Lenovo,19,1923,12,15685,40,Female,Cash,Houston,CA,USA,2,2
2023-07-10,Phone,Electronics,Apple,19,430,22,40553,48,Male,Cash,Houston,AZ,USA,5,8
2023-07-11,Laptop,Electronics,Lenovo,4,464,2,42488,50,Female,Debit Card,Phoenix,AZ,USA,5,3
2023-07-12,Laptop,Electronics,HP,2,110,29,10946,19,Female,PayPal,Phoenix,CA,USA,3,2
2023-07-13,Phone,Electronics,Dell,7,1311,9,23662,45,Female,PayPal,New York,IL,USA,5,1
2023-07-14,Smartwatch,Accessories,Dell,13,608,3,14650,49,Male,Cash,Phoenix,AZ,USA,5,2
2023-07-15,Smartwatch,Accessories,Lenovo,12,679,24,41804,50,Male,PayPal,Los Angeles,TX,USA,5,2
2023-07-16,Laptop,Electronics,Samsung,2,1568,14,30337,26,Female,Credit Card,New York,AZ,USA,1,4
2023-07-17,Smartwatch,Wearables,Dell,9,1213,11,36503,46,Male,Credit Card,Phoenix,IL,USA,3,1
2023-07-18,Smartwatch,Wearables,HP,16,721,14,1887,32,Male,Credit Card,Phoenix,AZ,USA,3,1
2023-07-19,Smartwatch,Wearables,Dell,8,1000,28,12709,35,Female,PayPal,Los Angeles,AZ,USA,2,6
2023-07-20,Laptop,Electronics,Samsung,18,1799,20,1483,35,Male,Debit Card,Los Angeles,NY,USA,3,5
2023-07-21,Smartwatch,Accessories,Dell,4,1571,24,47614,24,Female,Debit Card,New York,AZ,USA,4,1
2023-07-22,Tablet,Accessories,Dell,11,817,25,32651,31,Male,Cash,Chicago,CA,USA,3,6
2023-07-23,Laptop,Wearables,Samsung,17,1155,28,22303,46,Female,PayPal,Los Angeles,CA,USA,4,8
2023-07-24,Phone,Wearables,Dell,8,426,25,19878,36,Female,Cash,Phoenix,TX,USA,5,5
2023-07-25,Smartwatch,Accessories,Lenovo,19,173,9,8048,22,Female,PayPal,New York,AZ,USA,4,3
2023-07-26,Headphones,Wearables,Sony,8,350,11,40121,58,Male,Debit Card,Chicago,TX,USA,1,3
2023-07-27,Laptop,Wearables,Lenovo,6,549,25,1275,62,Female,Credit Card,New York,IL,USA,5,2
2023-07-28,Phone,Accessories,Dell,2,1005,21,21865,22,Male,PayPal,Phoenix,IL,USA,4,9
2023-07-29,Tablet,Wearables,Apple,15,454,7,31207,32,Female,Debit Card,Chicago,NY,USA,5,9
2023-07-30,Phone,Wearables,Apple,1,632,20,24637,43,Male,Debit Card,Chicago,NY,USA,1,7
2023-07-31,Smartwatch,Electronics,Sony,6,395,20,22031,41,Female,Debit Card,Los Angeles,AZ,USA,5,1
2023-08-01,Headphones,Wearables,Dell,19,397,2,18370,36,Female,Credit Card,Houston,AZ,USA,5,1
2023-08-02,Smartwatch,Electronics,HP,4,1451,6,46238,37,Male,Debit Card,Phoenix,TX,USA,3,4
2023-08-03,Phone,Accessories,Dell,13,401,17,2501,60,Female,Cash,Houston,TX,USA,2,2
2023-08-04,Laptop,Electronics,Apple,15,611,26,44907,26,Female,Debit Card,Phoenix,AZ,USA,4,3
2023-08-05,Headphones,Accessories,Samsung,9,1461,27,15256,45,Male,Debit Card,New York,AZ,USA,2,2
2023-08-06,Headphones,Electronics,Sony,3,684,2,41330,33,Male,PayPal,Houston,NY,USA,1,1
2023-08-07,Phone,Electronics,Samsung,2,473,14,28363,28,Female,PayPal,Chicago,NY,USA,1,3
2023-08-08,Smartwatch,Electronics,HP,16,1676,1,10546,51,Female,PayPal,Los Angeles,NY,USA,5,7
2023-08-09,Phone,Wearables,Dell,18,1217,14,24152,42,Male,Debit Card,Phoenix,AZ,USA,2,9
2023-08-10,Headphones,Wearables,HP,18,231,12,37456,57,Female,Debit Card,Los Angeles,TX,USA,4,9
2023-08-11,Phone,Wearables,Samsung,6,1734,23,14386,38,Female,Cash,Phoenix,CA,USA,4,8
2023-08-12,Headphones,Wearables,Dell,18,1009,19,21245,22,Male,Credit Card,Chicago,CA,USA,5,6
2023-08-13,Smartwatch,Wearables,Lenovo,11,152,9,39617,28,Female,Debit Card,Chicago,TX,USA,4,1
2023-08-14,Laptop,Electronics,Lenovo,7,1619,23,32323,60,Female,Credit Card,Chicago,TX,USA,3,8
2023-08-15,Laptop,Wearables,HP,14,328,23,39448,26,Male,Debit Card,Chicago,TX,USA,2,8
2023-08-16,Phone,Accessories,Lenovo,18,739,23,13822,28,Female,Credit Card,Chicago,NY,USA,1,9
2023-08-17,Headphones,Electronics,Lenovo,7,1335,23,8294,54,Female,PayPal,Los Angeles,IL,USA,4,6
2023-08-18,Laptop,Electronics,Apple,10,896,7,46669,58,Female,Debit Card,New York,AZ,USA,4,3
2023-08-19,Headphones,Accessories,Lenovo,8,890,15,6662,18,Female,Cash,Houston,NY,USA,4,6
2023-08-20,Smartwatch,Wearables,Apple,14,1627,27,49191,43,Female,Credit Card,Los Angeles,CA,USA,5,8
2023-08-21,Phone,Accessories,Sony,18,594,24,17257,27,Male,PayPal,Houston,AZ,USA,1,7
2023-08-22,Headphones,Electronics,Apple,5,952,15,6405,57,Female,Cash,New York,TX,USA,2,8
2023-08-23,Phone,Electronics,Apple,14,770,1,29265,36,Female,PayPal,Phoenix,CA,USA,4,3
2023-08-24,Headphones,Electronics,Samsung,10,1987,8,45544,33,Male,Debit Card,New York,TX,USA,3,8
2023-08-25,Headphones,Accessories,Apple,15,1356,7,38957,62,Female,Cash,New York,TX,USA,5,5
2023-08-26,Smartwatch,Wearables,Apple,6,1194,10,19904,54,Female,Credit Card,Phoenix,TX,USA,2,7
2023-08-27,Phone,Electronics,Samsung,9,1840,25,15880,58,Female,Credit Card,Houston,AZ,USA,4,4
2023-08-28,Tablet,Wearables,Apple,10,288,0,16008,21,Male,Cash,Chicago,CA,USA,2,3
2023-08-29,Headphones,Electronics,Lenovo,17,762,29,20176,31,Female,Credit Card,Phoenix,CA,USA,5,6
2023-08-30,Headphones,Wearables,Apple,1,107,20,23760,47,Male,PayPal,Phoenix,TX,USA,3,9
2023-08-31,Laptop,Accessories,Sony,14,431,10,7397,24,Male,Cash,New York,NY,USA,4,4
2023-09-01,Phone,Electronics,Apple,4,1735,17,2064,29,Female,Credit Card,Phoenix,IL,USA,3,9
